Year,Month,Temperature,Anomaly
1962,10,9.777,0.204
1962,11,2.913,0.688
1962,12,-1.603,2.305
1963,1,-6.013,1.803
1963,2,-6.536,0.980
1963,3,-2.548,0.055
1963,4,4.578,-0.090
1963,5,12.647,2.039
1963,6,13.787,-0.455
1963,7,18.373,-0.035
1963,8,17.819,-1.973
1963,9,15.103,-1.067
1963,10,10.573,0.999
1963,11,5.158,2.933
1963,12,-1.295,2.613
1964,1,-6.006,1.809
1964,2,-10.871,-3.355
1964,3,-3.598,-0.995
1964,4,3.338,-1.330
1964,5,10.411,-0.197
1964,6,11.627,-2.615
1964,7,15.398,-3.009
1964,8,18.597,-1.196
1964,9,14.108,-2.062
1964,10,9.627,0.054
1964,11,3.180,0.955
1964,12,-2.535,1.373
1965,1,-4.677,3.138
1965,2,-6.471,1.045
1965,3,-4.558,-1.954
1965,4,2.648,-2.020
1965,5,10.216,-0.392
1965,6,14.115,-0.127
1965,7,14.798,-3.609
1965,8,19.465,-0.328
1965,9,15.830,-0.340
1965,10,10.398,0.825
1965,11,2.688,0.463
1965,12,-3.065,0.844
1966,1,-6.803,1.012
1966,2,-6.907,0.609
1966,3,-1.215,1.389
1966,4,2.670,-1.998
1966,5,8.647,-1.961
1966,6,11.897,-2.345
1966,7,15.887,-2.521
1966,8,18.837,-0.955
1966,9,15.218,-0.952
1966,10,11.634,2.060
1966,11,4.778,2.553
1966,12,-4.506,-0.598
1967,1,-7.990,-0.175
1967,2,-7.380,0.136
1967,3,-1.324,1.280
1967,4,4.840,0.172
1967,5,11.239,0.631
1967,6,12.593,-1.649
1967,7,17.282,-1.125
1967,8,20.060,0.267
1967,9,15.112,-1.058
1967,10,10.644,1.070
1967,11,1.585,-0.640
1967,12,-2.216,1.692
1968,1,-5.523,2.293
1968,2,-8.774,-1.258
1968,3,0.513,3.117
1968,4,4.907,0.238
1968,5,9.150,-1.458
1968,6,14.152,-0.090
1968,7,17.711,-0.696
1968,8,18.310,-1.483
1968,9,15.360,-0.810
1968,10,8.431,-1.143
1968,11,5.227,3.002
1968,12,-0.060,3.849
1969,1,-6.997,0.819
1969,2,-7.338,0.179
1969,3,-3.079,-0.475
1969,4,3.708,-0.960
1969,5,9.195,-1.413
1969,6,12.195,-2.047
1969,7,18.489,0.081
1969,8,16.253,-3.539
1969,9,15.550,-0.620
1969,10,8.877,-0.696
1969,11,3.010,0.785
1969,12,-5.337,-1.429
1970,1,-7.871,-0.055
1970,2,-6.752,0.764
1970,3,-5.532,-2.929
1970,4,4.465,-0.203
1970,5,12.966,2.358
1970,6,13.397,-0.845
1970,7,18.582,0.175
1970,8,19.576,-0.217
1970,9,16.135,-0.035
1970,10,10.835,1.262
1970,11,3.970,1.745
1970,12,-3.881,0.028
1971,1,-6.292,1.524
1971,2,-7.193,0.323
1971,3,-2.008,0.596
1971,4,4.777,0.108
1971,5,9.194,-1.414
1971,6,12.180,-2.062
1971,7,16.579,-1.829
1971,8,17.685,-2.107
1971,9,14.108,-2.062
1971,10,10.694,1.120
1971,11,3.350,1.125
1971,12,-2.087,1.821
1972,1,-5.663,2.153
1972,2,-5.791,1.725
1972,3,-1.594,1.010
1972,4,5.602,0.933
1972,5,11.132,0.524
1972,6,14.395,0.153
1972,7,18.079,-0.329
