Identifiant;Commémoré;Adresse complète;Précision adresse;Code postal;xy
894.0;MEMORIAL;18, rue des Batignolles Mairie du xviieme 75017 Paris;NULL;75017.0;48.884452, 2.321898
919.0;Robert BANDIN;10, avenue Porte de Clignancourt 75018 Paris;NULL;75018.0;48.898789, 2.344012
51.0;Maurice BASSIS;130, rue Vieille du Temple 75003 Paris;NULL;75003.0;48.861707, 2.364221
129.0;MEMORIAL DES DEPORTES;Ile de la Cité 75004 Paris;NULL;75004.0;48.854533, 2.347531
152.0;Pierre ALVISET;88,rue Monge 75005 Paris;NULL;75005.0;48.841295, 2.351782
1072.0;Eleves de ces ecoles morts en déportation parce que nés juifs;1 rue général Lassalle;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75019.0;48.874256, 2.381214
1113.0;Alexis Forthoffer COLAS;18, rue des Pyrenees Depot RATP 75020 Paris;NULL;75020.0;48.849106, 2.406737
1152.0;Henri ROLLAND;78, rue des Amandiers 75020 Paris;NULL;75020.0;48.866553, 2.389764
1165.0;Louis WALLE;21, rue Ramponneau 75020 Paris;NULL;75020.0;48.871241, 2.379806
23.0;Raymond MESTRACCI;Place de la Concorde 75001 Paris;(côté rue de Rivoli);75001.0;48.862862, 2.343103
764.0;Eleves de ces ecoles morts en déportation parce que nés juifs;7 rue asseline 75014 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75014.0;48.835088, 2.322692
231.0;Georges LOISELEUR;17, quai des Grands Augustins 75006 Paris;NULL;75006.0;48.854123, 2.343411
261.0;AVEUGLES DE LA RESISTANCE;58 avenue Bosquet 75007 Paris;NULL;75007.0;48.855272, 2.304915
565.0;COMITE CLANDESTIN DE LA LIBERATION DU XIIème;Rue Descos Mairie du XIIème arrondissement 75012 Paris;Hall d'honneur de la mairie;75012.0;48.841297, 2.388025
656.0;Etat-major Des F.T.P.F. FABIEN;116, avenue d'Italie 75013 Paris;NULL;75013.0;48.824069, 2.357615
733.0;GARDIENS DE LA PAIX;112-116, Avenue du Maine Commissariat de police 75014 Paris;hall d'entree sur la droite;75014.0;48.836132, 2.323428
955.0;Rouben MéLIK;6 rue de Trétaigne 75018 Paris;NULL;75018.0;48.891575, 2.342177
985.0;Eleves de ces ecoles morts en déportation parce que nés juifs;11 rue Cavé 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.886718, 2.355218
1061.0;Emile MULLER;3, rue de Flandres 75019 Paris;NULL;75019.0;48.887247, 2.373234
